Job ID,Agency,Posting Type,Number Of Positions,Business Title,Civil Service Title,Title Code No,Level,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Hours/Shift,Work Location 1,Recruitment Contact,Residency Requirement,Posting Date,Post Until,Posting Updated,Process Date
168874,DEPT OF ENVIRONMENT PROTECTION,External,1,REPOST - Per Diem - Remote Learning Team Specialist,COMPUTER PROGRAMMER ANALYST,13651,1,45174,62370,Annual,59-17 Junction Blvd Corona Ny,Lead Monitor - Lefrak, ,59-17 Junction Blvd Corona Ny,,New York City Residency is not required for this position,9/22/2014 0:00,,10/10/2014 0:00,3/22/2016 0:00
169430,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Research Analyst, Family and Child Health Administration",CITY RESEARCH SCIENTIST,21744,1,56555,68431,Annual,42-09 28th Street,FCH Administration, ,"42-09 28th Street, Queens, NY, 11101",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",9/24/2014 0:00,,9/24/2014 0:00,3/22/2016 0:00
148869,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Clinical Systems Integration Coordinator,CITY RESEARCH SCIENTIST,21744,2,63662,79899,Annual,42-09 28th Street,"Alcohol, Drug Prev & Treatment", ,"42-09 28th Street, Queens, NY, 11101",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",4/9/2014 0:00,,4/9/2014 0:00,3/22/2016 0:00
149599,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,34201,0,43349,52496,Annual,59-17 Junction Blvd Corona Ny,JOCS- IFA,35 Hours per Week, ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",4/25/2014 0:00,,4/25/2014 0:00,3/22/2016 0:00
149599,DEPT OF ENVIRONMENT PROTECTION,External,1,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,34201,0,43349,52496,Annual,59-17 Junction Blvd Corona Ny,JOCS- IFA,35 Hours per Week, ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",4/25/2014 0:00,,4/25/2014 0:00,3/22/2016 0:00
149908,DEPARTMENT OF BUILDINGS,External,3,Senior Application Developer,COMPUTER SYSTEMS MANAGER,10050,M1,49492,100000,Annual,"280 Broadway, 6th Floor, N.Y.",Information Technology,35 hours (minimum),"280 Broadway, 6th Floor, N.Y.",,New York City Residency is not required for this position,4/3/2015 0:00,,4/3/2015 0:00,3/22/2016 0:00
169430,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Research Analyst, Family and Child Health Administration",CITY RESEARCH SCIENTIST,21744,1,56555,68431,Annual,42-09 28th Street,FCH Administration, ,"42-09 28th Street, Queens, NY, 11101",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",9/24/2014 0:00,,9/24/2014 0:00,3/22/2016 0:00
169456,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Administrative Public Health Nurse, Bureau of School Health",ADMINISTRATIVE PUBLIC HEALTH N,10032,M1,49492,136198,Annual,"1601 Ave. S, Brooklyn",SH Nursing Services & Prof Dev, ,"42-09 28th Street, Queens, NY, 11101",,New York City Residency is not required for this position,9/24/2014 0:00,,9/24/2014 0:00,3/22/2016 0:00
169456,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Administrative Public Health Nurse, Bureau of School Health",ADMINISTRATIVE PUBLIC HEALTH N,10032,M1,49492,136198,Annual,"1601 Ave. S, Brooklyn",SH Nursing Services & Prof Dev, ,"42-09 28th Street, Queens, NY, 11101",,New York City Residency is not required for this position,9/24/2014 0:00,,9/24/2014 0:00,3/22/2016 0:00
170220,DEPT OF ENVIRONMENT PROTECTION,External,1,Financial Review Analyst,COMMUNITY COORDINATOR,56058,0,47703,74049,Annual,"250 Broadway, N.Y.",Sandy HRO Administration, , ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/2/2014 0:00,,6/4/2015 0:00,3/22/2016 0:00
170220,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Financial Review Analyst,COMMUNITY COORDINATOR,56058,0,47703,74049,Annual,"250 Broadway, N.Y.",Sandy HRO Administration, , ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/2/2014 0:00,,6/4/2015 0:00,3/22/2016 0:00
149908,DEPARTMENT OF BUILDINGS,Internal,3,Senior Application Developer,COMPUTER SYSTEMS MANAGER,10050,M1,49492,100000,Annual,"280 Broadway, 6th Floor, N.Y.",Information Technology,35 hours (minimum),"280 Broadway, 6th Floor, N.Y.",,New York City Residency is not required for this position,4/3/2015 0:00,,4/3/2015 0:00,3/22/2016 0:00
149962,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Internetworking Specialist,CERT. IT ADMINISTRATOR WAN,13642,3,77733,95000,Annual,421 East 26th Street NY NY,OCME-Operations, , ,,New York City Residency is not required for this position,5/1/2014 0:00,,5/1/2014 0:00,3/22/2016 0:00
149962,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Internetworking Specialist,CERT. IT ADMINISTRATOR WAN,13642,3,77733,95000,Annual,421 East 26th Street NY NY,OCME-Operations, , ,,New York City Residency is not required for this position,5/1/2014 0:00,,5/1/2014 0:00,3/22/2016 0:00
150410,NYC HOUSING AUTHORITY,Internal,1,Agency Attorney II - Corporate Affairs,AGENCY ATTORNEY,30087,2,69085,69085,Annual,Law Dept - Corporate Affairs,Law Department, , ,,NYCHA has no residency requirements.,6/26/2014 0:00,,12/16/2014 0:00,3/22/2016 0:00
171040,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Clerical Associate, Bureau of Communicable Diseases",CLERICAL ASSOCIATE,10251,3,32086,51981,Annual,42-09 28th Street,Communicable Diseases, ,"42-09 28th Street, Queens, NY, 11101",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/8/2014 0:00,,10/8/2014 0:00,3/22/2016 0:00
171287,DEPT OF ENVIRONMENT PROTECTION,External,1,REPOST - Remote Learning Team Specialist,COMPUTER PROGRAMMER ANALYST,13651,1,45174,62370,Annual,59-17 Junction Blvd Corona Ny,Lead Monitor - Lefrak,35 hours per week (Monday - Friday),59-17 Junction Blvd Corona Ny,,New York City Residency is not required for this position,10/10/2014 0:00,,10/15/2014 0:00,3/22/2016 0:00
171287,DEPT OF ENVIRONMENT PROTECTION,Internal,1,REPOST - Remote Learning Team Specialist,COMPUTER PROGRAMMER ANALYST,13651,1,45174,62370,Annual,59-17 Junction Blvd Corona Ny,Lead Monitor - Lefrak,35 hours per week (Monday - Friday),59-17 Junction Blvd Corona Ny,,New York City Residency is not required for this position,10/10/2014 0:00,,10/15/2014 0:00,3/22/2016 0:00
171944,DEPT OF INFO TECH & TELECOMM,Internal,1,"Deputy Director, Audits and Accounts",COMPUTER ASSOC (TECH SUPP),13611,1,43292,53000,Annual,75 Park Place New York Ny,Financial Services,Day,"NY, NY",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/30/2014 0:00,,10/30/2014 0:00,3/22/2016 0:00
150410,NYC HOUSING AUTHORITY,External,1,Agency Attorney II - Corporate Affairs,AGENCY ATTORNEY,30087,2,69085,69085,Annual,Law Dept - Corporate Affairs,Law Department, , ,,NYCHA has no residency requirements.,6/26/2014 0:00,,8/12/2014 0:00,3/22/2016 0:00
150760,DEPARTMENT OF FINANCE,Internal,1,Senior Developer,COMPUTER SYSTEMS MANAGER,10050,M1,54740,110000,Annual,59 Maiden Lane,Microsoft Platform Apps,"Unless otherwise indicated, all positions require a five-day workweek.",59 Maiden Lane  Current location but could be subject to change.,,New York City Residency is not required for this position,6/20/2014 0:00,,6/20/2014 0:00,3/22/2016 0:00
150760,DEPARTMENT OF FINANCE,External,1,Senior Developer,COMPUTER SYSTEMS MANAGER,10050,M1,54740,110000,Annual,59 Maiden Lane,Microsoft Platform Apps,"Unless otherwise indicated, all positions require a five-day workweek.",59 Maiden Lane  Current location but could be subject to change.,,New York City Residency is not required for this position,6/20/2014 0:00,,6/20/2014 0:00,3/22/2016 0:00
172053,DEPT OF INFO TECH & TELECOMM,Internal,1,311 Call Center Manager,ADM MANAGER-NON-MGRL FRM M1/M2,1002C,0,49492,69000,Annual,59 Maiden Lane,311 Operations,"Due to the necessary duties of this position in a 24/7 operation, candidate may be required to work various shifts such as weekends and/or nights/evenings.","Manhattan, NY",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/21/2014 0:00,,10/21/2014 0:00,3/22/2016 0:00
172251,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Associate Director for Microbiology, Bureau of Public Health Laboratory",HEALTH SERVICES MANAGER,10069,M3,60740,162014,Annual,"455 First Ave., N.Y.",Microbiology, ,"455 First Ave., N.Y.",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/22/2014 0:00,,1/30/2015 0:00,3/22/2016 0:00
172251,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Associate Director for Microbiology, Bureau of Public Health Laboratory",HEALTH SERVICES MANAGER,10069,M3,60740,162014,Annual,"455 First Ave., N.Y.",Microbiology, ,"455 First Ave., N.Y.",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/22/2014 0:00,,1/30/2015 0:00,3/22/2016 0:00
150851,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Green Infrastructure Analyst,CITY PLANNING TECHNICIAN,22121,0,32824,50355,Annual,59-17 Junction Blvd Corona Ny,Dept of Environment Protection,35 hrs week/day shift,59-17 Junction Blvd Corona Ny,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",5/16/2014 0:00,,5/16/2014 0:00,3/22/2016 0:00
150851,DEPT OF ENVIRONMENT PROTECTION,External,1,Green Infrastructure Analyst,CITY PLANNING TECHNICIAN,22121,0,32824,50355,Annual,59-17 Junction Blvd Corona Ny,Dept of Environment Protection,35 hrs week/day shift,59-17 Junction Blvd Corona Ny,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",5/16/2014 0:00,,5/16/2014 0:00,3/22/2016 0:00
151131,NYC HOUSING AUTHORITY,External,1,Cost Estimating Manager,ADMINISTRATIVE STAFF ANALYST (,1002D,0,90000,110000,Annual,CP Cap Plan-Technical Planning,Capital Planning, , ,,NYCHA has no residency requirements.,6/25/2014 0:00,,7/7/2014 0:00,3/22/2016 0:00
151405,DEPT OF ENVIRONMENT PROTECTION,Internal,4,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,34201,0,43349,52496,Annual,59-17 Junction Blvd Corona Ny,Green Infrastructure,35 hrs week/day shift,59-17 Junction Blvd Corona Ny,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",5/28/2014 0:00,,5/29/2014 0:00,3/22/2016 0:00
170412,DEPT OF ENVIRONMENT PROTECTION,Internal,2,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,34201,0,45333,54898,Annual,59-17 Junction Blvd Corona Ny,Green Infrastructure,35 hrs week/day shift,59-17 Junction Blvd Corona Ny,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/2/2014 0:00,,10/8/2014 0:00,3/22/2016 0:00
170412,DEPT OF ENVIRONMENT PROTECTION,External,2,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,34201,0,45333,54898,Annual,59-17 Junction Blvd Corona Ny,Green Infrastructure,35 hrs week/day shift,59-17 Junction Blvd Corona Ny,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/2/2014 0:00,,10/8/2014 0:00,3/22/2016 0:00
170989,OFFICE OF COLLECTIVE BARGAININ,Internal,1,COLLEGE AIDE - CLERICAL,COLLEGE AIDE (ALL CITY DEPTS),10209,1,9,10,Hourly,100 Gold Street,Administration,"Hours:  17 hours per week when school is in session, or 35 hours per week during the summer vacation.                         Shift:    Weekdays/minimum three (3) mornings per week.", ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/9/2014 0:00,,10/16/2014 0:00,3/22/2016 0:00
170989,OFFICE OF COLLECTIVE BARGAININ,External,1,COLLEGE AIDE - CLERICAL,COLLEGE AIDE (ALL CITY DEPTS),10209,1,9,10,Hourly,100 Gold Street,Administration,"Hours:  17 hours per week when school is in session, or 35 hours per week during the summer vacation.                         Shift:    Weekdays/minimum three (3) mornings per week.", ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/9/2014 0:00,,10/16/2014 0:00,3/22/2016 0:00
151405,DEPT OF ENVIRONMENT PROTECTION,External,4,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,34201,0,43349,52496,Annual,59-17 Junction Blvd Corona Ny,Green Infrastructure,35 hrs week/day shift,59-17 Junction Blvd Corona Ny,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",5/28/2014 0:00,,5/29/2014 0:00,3/22/2016 0:00
151650,NYC HOUSING AUTHORITY,Internal,3,PLUMBER'S HELPER,PLUMBER'S HELPER,91916,0,61387,61387,Annual,Brooklyn Floating Staff,Brooklyn Property Management, , ,,NYCHA has no residency requirements.,8/22/2014 0:00,,9/9/2014 0:00,3/22/2016 0:00
151650,NYC HOUSING AUTHORITY,External,3,PLUMBER'S HELPER,PLUMBER'S HELPER,91916,0,61387,61387,Annual,Brooklyn Floating Staff,Brooklyn Property Management, , ,,NYCHA has no residency requirements.,8/22/2014 0:00,,8/21/2014 0:00,3/22/2016 0:00
151770,DEPT OF HEALTH/MENTAL HYGIENE,Internal,2,"Field Medical Doctor, Bureau of School Health",CITY MEDICAL SPECIALIST (PART-,53040,1,66,71,Hourly,42-09 28th Street,SH Reproductive Health, ,"42-09 28th Street< Queens, NY, 11101",,New York City Residency is not required for this position,6/6/2014 0:00,,9/3/2014 0:00,3/22/2016 0:00
151770,DEPT OF HEALTH/MENTAL HYGIENE,External,2,"Field Medical Doctor, Bureau of School Health",CITY MEDICAL SPECIALIST (PART-,53040,1,66,71,Hourly,42-09 28th Street,SH Reproductive Health, ,"42-09 28th Street< Queens, NY, 11101",,New York City Residency is not required for this position,6/6/2014 0:00,,9/3/2014 0:00,3/22/2016 0:00
151937,NYC HOUSING AUTHORITY,Internal,4,Assistant Project Manager,ASSOCIATE PROJECT MANAGER,22427,2,62942,92249,Annual,CP Special Projects,Construction, , ,,NYCHA has no residency requirements.,8/16/2014 0:00,,10/15/2014 0:00,3/22/2016 0:00
87990,DEPARTMENT OF BUSINESS SERV.,Internal,1,Account Manager,CONTRACT REVIEWER (OFFICE OF L,40563,1,42405,65485,Annual,110 William St. N Y,Strategy & Analytics, , ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",6/24/2011 0:00,,6/24/2011 0:00,3/22/2016 0:00
