Code,Type
S0034,Printing and publishing
S0035,Chemicals and allied products
S0036,Petroleum and coal products
S0037,Rubber and miscellaneous plastics products
S0038,Leather and leather products
S0039,Nonmanufacturing
S0040,Mining
S0041,Construction
S0042,Transportation and public utilities
S0043,Wholesale and retail trade
S0044,Wholesale trade
S0045,Retail trade
S0046,"Finance, insurance, and real estate"
S0047,Services
S0048,Not identified
S0049,Government
S0050,Federal government
S0051,State government
S0052,Local government
